1588,1.3113
1587,1.3094
1586,1.3034
1585,1.2907
1584,1.2895
1583,1.2941
1582,1.2847
1581,1.285
1580,1.2911
1579,1.2962
1578,1.2909
1577,1.2854
1576,1.2869
1575,1.2721
1574,1.2529
1573,1.2553
1572,1.2552
1571,1.2599
1570,1.2604
1569,1.2679
1568,1.267
1567,1.2736
1566,1.2655
1565,1.2668
1564,1.2782
1563,1.2822
1562,1.2845
1561,1.2816
1560,1.2761
1559,1.2898
1558,1.2988
1557,1.3145
1556,1.3089
1555,1.3137
1554,1.3087
1553,1.3012
1552,1.3006
1551,1.2966
1550,1.3073
1549,1.3184
1548,1.3275
1547,1.3247
1546,1.3204
1545,1.3046
1544,1.3101
1543,1.3001
1542,1.2974
1541,1.3098
1540,1.3355
1539,1.326
1538,1.321
1537,1.3346
1536,1.3251
1535,1.3409
1534,1.3279
1533,1.3315
1532,1.3401
1531,1.3417
1530,1.3408
1529,1.354
1528,1.3513
1527,1.3531
1526,1.3702
1525,1.3794
1524,1.3706
1523,1.3766
1522,1.3725
1521,1.3669
1520,1.3861
1519,1.3835
1518,1.3847
1517,1.3935
1516,1.3925
1515,1.3865
1514,1.3924
1513,1.3915
1512,1.3753
1511,1.3781
1510,1.4053
1509,1.3947
1508,1.3973
1507,1.4029
1506,1.4093
1505,1.4116
1504,1.4291
1503,1.4117
1502,1.4263
1501,1.4505
1500,1.4579
1499,1.4564
1498,1.454
1497,1.4366
1496,1.4341
1495,1.4263
1494,1.4216
1493,1.417
1492,1.4116
1491,1.4073
1490,1.3997
1489,1.3953
1488,1.3849
1487,1.3841
1486,1.3879
1485,1.3842
1484,1.3905
1483,1.3822
1482,1.3818
1481,1.3846
1480,1.392
1479,1.3959
1478,1.3955
1477,1.3937
1476,1.378
1475,1.373
1474,1.3734
1473,1.3756
1472,1.3624
1471,1.3577
1470,1.3584
1469,1.3495
1468,1.3362
1467,1.3357
1466,1.3343
1465,1.3357
1464,1.3362
1463,1.3372
1462,1.3293
1461,1.3286
1460,1.3303
1459,1.3364
1458,1.3343
1457,1.3282
1456,1.3299
1455,1.3319
1454,1.3331
1453,1.3323
1452,1.3292
1451,1.3261
1450,1.3276
1449,1.3285
1448,1.3307
1447,1.3167
1446,1.3147
1445,1.306
1444,1.3095
1443,1.3078
1442,1.3172
1441,1.3192
1440,1.3267
1439,1.3153
1438,1.3164
1437,1.3089
1436,1.3139
1435,1.2978
1434,1.3019
1433,1.2911
1432,1.2865
1431,1.2936
1430,1.3039
1429,1.2996
1428,1.2943
1427,1.3017
1426,1.3057
1425,1.3035
1424,1.3087
1423,1.3149
1422,1.3268
1421,1.3315
1420,1.3421
1419,1.3399
1418,1.3337
1417,1.3301
1416,1.332
